ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,WonBy,Margin,Player_of_Match
335982,Bangalore,18-04-2008,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,Runs,140,BB McCullum
335983,Chandigarh,19-04-2008,2007/08,2,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,Runs,33,MEK Hussey
335984,Delhi,19-04-2008,2007/08,3,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,Wickets,9,MF Maharoof
335985,Mumbai,20-04-2008,2007/08,5,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,Wickets,5,MV Boucher
335986,Kolkata,20-04-2008,2007/08,4,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,Wickets,5,DJ Hussey
335987,Jaipur,21-04-2008,2007/08,6,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,Wickets,6,SR Watson
335988,Hyderabad,22-04-2008,2007/08,7,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,Wickets,9,V Sehwag
335989,Chennai,23-04-2008,2007/08,8,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,Runs,6,ML Hayden
335990,Hyderabad,24-04-2008,2007/08,9,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,Wickets,3,YK Pathan
335991,Chandigarh,25-04-2008,2007/08,10,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,Runs,66,KC Sangakkara
335992,Bangalore,26-04-2008,2007/08,12,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,Wickets,7,SR Watson
335993,Chennai,26-04-2008,2007/08,11,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,Wickets,9,JDP Oram
335994,Mumbai,27-04-2008,2007/08,14,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,Wickets,10,AC Gilchrist
335995,Chandigarh,27-04-2008,2007/08,13,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,Wickets,4,SM Katich
335996,Bangalore,28-04-2008,2007/08,15,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,Runs,13,MS Dhoni
335997,Kolkata,29-04-2008,2007/08,16,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,Wickets,7,ST Jayasuriya
335998,Delhi,30-04-2008,2007/08,17,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,Runs,10,GD McGrath
335999,Hyderabad,01-05-2008,2007/08,19,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,Wickets,7,SE Marsh
336000,Jaipur,01-05-2008,2007/08,18,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,Runs,45,SA Asnodkar
336001,Chennai,02-05-2008,2007/08,20,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,Wickets,8,V Sehwag
336002,Hyderabad,25-05-2008,2007/08,51,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore,Wickets,5,R Vinay Kumar
336003,Chandigarh,03-05-2008,2007/08,22,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,Runs,9,IK Pathan
336004,Mumbai,04-05-2008,2007/08,23,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,Runs,29,SM Pollock
336005,Jaipur,04-05-2008,2007/08,24,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,Wickets,8,Sohail Tanvir
336006,Bangalore,05-05-2008,2007/08,25,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Wickets,6,S Sreesanth
336007,Chennai,06-05-2008,2007/08,26,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,Wickets,7,AC Gilchrist
336008,Mumbai,07-05-2008,2007/08,27,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,Wickets,7,A Nehra
336009,Delhi,08-05-2008,2007/08,28,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,Wickets,4,MS Dhoni
336010,Kolkata,08-05-2008,2007/08,29,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,Runs,5,SC Ganguly
336011,Jaipur,09-05-2008,2007/08,30,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,Wickets,8,YK Pathan
336012,Bangalore,28-05-2008,2007/08,55,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,Wickets,9,CRD Fernando
336013,Chennai,10-05-2008,2007/08,31,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings,Runs,18,L Balaji
336014,Hyderabad,11-05-2008,2007/08,32,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,Runs,23,SC Ganguly
336015,Jaipur,11-05-2008,2007/08,33,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,Wickets,3,SR Watson
336016,Chandigarh,12-05-2008,2007/08,34,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,Wickets,9,SE Marsh
336017,Kolkata,13-05-2008,2007/08,35,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,Runs,23,Shoaib Akhtar
336018,Mumbai,14-05-2008,2007/08,36,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Wickets,9,ST Jayasuriya
336019,Chandigarh,28-05-2008,2007/08,56,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,Runs,41,SE Marsh
336020,Delhi,15-05-2008,2007/08,37,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils,Runs,12,A Mishra
336021,Mumbai,16-05-2008,2007/08,38,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Wickets,8,SM Pollock
336022,Delhi,17-05-2008,2007/08,40,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,Runs,6,DPMD Jayawardene
336023,Jaipur,17-05-2008,2007/08,39,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,Runs,65,GC Smith
336024,Hyderabad,18-05-2008,2007/08,42,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,Runs,25,DJ Bravo
336025,Kolkata,18-05-2008,2007/08,41,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings,Runs,3,M Ntini
336026,Bangalore,19-05-2008,2007/08,43,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,Delhi Daredevils,Wickets,5,SP Goswami
336027,Kolkata,20-05-2008,2007/08,44,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Wickets,6,YK Pathan
336028,Mumbai,21-05-2008,2007/08,45,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,Runs,1,SE Marsh
336029,Chennai,21-05-2008,2007/08,46,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,14,A Kumble
336031,Chandigarh,23-05-2008,2007/08,48,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,Wickets,6,SE Marsh
336032,Delhi,24-05-2008,2007/08,50,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,Wickets,5,KD Karthik
336033,Chennai,24-05-2008,2007/08,49,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Rajasthan Royals,Runs,10,JA Morkel
336034,Bangalore,03-05-2008,2007/08,21,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore,Runs,3,P Kumar
336035,Kolkata,25-05-2008,2007/08,52,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,Wickets,3,Umar Gul
336036,Jaipur,26-05-2008,2007/08,53,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,Wickets,5,Sohail Tanvir
336037,Hyderabad,27-05-2008,2007/08,54,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Chennai Super Kings,Wickets,7,SK Raina
336038,Mumbai,30-05-2008,2007/08,Semi Final,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Delhi Daredevils,field,Rajasthan Royals,Runs,105,SR Watson
336039,Mumbai,31-05-2008,2007/08,Semi Final,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Chennai Super Kings,Wickets,9,M Ntini
336040,Mumbai,01-06-2008,2007/08,Final,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals,field,Rajasthan Royals,Wickets,3,YK Pathan
392181,Cape Town,18-04-2009,2009,1,Chennai Super Kings,Mumbai Indians,Newlands,Chennai Super Kings,field,Mumbai Indians,Runs,19,SR Tendulkar
392182,Cape Town,18-04-2009,2009,2,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,75,R Dravid
392183,Cape Town,19-04-2009,2009,3,Delhi Daredevils,Kings XI Punjab,Newlands,Delhi Daredevils,field,Delhi Daredevils,Wickets,10,DL Vettori
392184,Cape Town,19-04-2009,2009,4,Deccan Chargers,Kolkata Knight Riders,Newlands,Kolkata Knight Riders,bat,Deccan Chargers,Wickets,8,RP Singh
392185,Port Elizabeth,20-04-2009,2009,5,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Chennai Super Kings,bat,Chennai Super Kings,Runs,92,M Muralitharan
